frame_idx,vision_frame_id,model_frame_id,image_path,dRel,yRel,vRel,vLead,vLeadK,aLeadK,aLeadTau,status,fcw,modelProb,radar,radarTrackId,raw_vision_dRel,vEgo
1,421,421,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/1.png,39.76106643676758,-0.08990728855133057,-0.23906373977661133,10.671819686889648,10.671819686889648,0.0,0.30000001192092896,True,False,0.9950267672538757,False,-1,39.76106689453125,10.910882949829102
2,423,423,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/2.png,39.6619987487793,-0.10615658760070801,-0.32613515853881836,10.58891487121582,10.58891487121582,0.0,0.30000001192092896,True,False,0.9962413311004639,False,-1,39.661999206542966,10.91504955291748
3,425,425,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/3.png,39.74848937988281,-0.1121140718460083,-0.28256702423095703,10.635345458984375,10.635345458984375,0.0,0.30000001192092896,True,False,0.9957171082496643,False,-1,39.74848983764648,10.917912483215332
4,427,427,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/4.png,40.442955017089844,-0.13620364665985107,0.19781017303466797,11.119580268859863,11.119580268859863,0.0,0.30000001192092896,True,False,0.996211051940918,False,-1,40.44295547485351,10.921770095825195
5,429,429,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/5.png,38.92271041870117,-0.11339032649993896,-0.3479905128479004,10.577417373657227,10.577417373657227,0.0,0.30000001192092896,True,False,0.995553195476532,False,-1,38.92271087646484,10.925408363342285
6,432,432,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/6.png,39.83745193481445,-0.10546219348907471,-0.04774188995361328,10.880529403686523,10.880529403686523,0.0,0.30000001192092896,True,False,0.9959850311279297,False,-1,39.83745239257812,10.928271293640137
7,434,434,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/7.png,39.80489730834961,-0.11876475811004639,-0.2904815673828125,10.64042854309082,10.64042854309082,0.0,0.30000001192092896,True,False,0.9957832098007202,False,-1,39.80489776611328,10.930910110473633
8,436,436,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/8.png,39.41498947143555,-0.09518766403198242,-0.03030252456665039,10.904081344604492,10.904081344604492,0.0,0.30000001192092896,True,False,0.9961330890655518,False,-1,39.414989929199216,10.9343843460083
9,438,438,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/9.png,39.23676300048828,-0.11601042747497559,-0.2888622283935547,10.649707794189453,10.649707794189453,0.0,0.30000001192092896,True,False,0.9958950281143188,False,-1,39.23676345825195,10.938570022583008
10,440,440,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/10.png,39.158267974853516,-0.13520443439483643,-0.4247093200683594,10.516510009765625,10.516510009765625,0.0,0.30000001192092896,True,False,0.9960297346115112,False,-1,39.158268432617184,10.941219329833984
11,442,442,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/11.png,38.83782196044922,-0.13280963897705078,-0.32390403747558594,10.618952751159668,10.618952751159668,0.0,0.30000001192092896,True,False,0.9939629435539246,False,-1,38.83782241821289,10.942856788635254
12,444,444,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/12.png,39.96100997924805,-0.08173274993896484,-0.06491661071777344,10.88005542755127,10.88005542755127,0.0,0.30000001192092896,True,False,0.9964218139648438,False,-1,39.961010437011716,10.944972038269043
13,447,447,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/13.png,39.06471633911133,-0.10382997989654541,-0.26906490325927734,10.678948402404785,10.678948402404785,0.0,0.30000001192092896,True,False,0.9965260624885559,False,-1,39.064716796875,10.948013305664062
14,449,449,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/14.png,39.60057830810547,-0.0892641544342041,-0.07300281524658203,10.878133773803711,10.878133773803711,0.0,0.30000001192092896,True,False,0.9973467588424683,False,-1,39.60057876586914,10.951136589050293
15,451,451,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/15.png,39.066322326660156,-0.07282280921936035,-0.12647151947021484,10.828009605407715,10.828009605407715,0.0,0.30000001192092896,True,False,0.9973416924476624,False,-1,39.066322784423825,10.95448112487793
16,453,453,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/16.png,39.5192756652832,-0.07444703578948975,-0.010906219482421875,10.94582462310791,10.94582462310791,0.0,0.30000001192092896,True,False,0.9974889755249023,False,-1,39.51927612304687,10.956730842590332
17,455,455,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/17.png,38.78413772583008,-0.09467315673828125,-0.3712959289550781,10.587449073791504,10.587449073791504,0.0,0.30000001192092896,True,False,0.9973546266555786,False,-1,38.78413818359375,10.958745002746582
18,457,457,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/18.png,37.9532356262207,-0.13126122951507568,-0.37778282165527344,10.584047317504883,10.584047317504883,0.0,0.30000001192092896,True,False,0.997497022151947,False,-1,37.95323608398437,10.961830139160156
19,460,460,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/19.png,35.779876708984375,-0.18706166744232178,-0.7305622100830078,10.233572959899902,10.233572959899902,0.0,0.30000001192092896,True,False,0.9973112344741821,False,-1,35.779877166748044,10.96413516998291
20,462,462,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/20.png,36.27186965942383,-0.1428210735321045,-0.5625700950622559,10.404674530029297,10.404674530029297,0.0,0.30000001192092896,True,False,0.996788740158081,False,-1,36.2718701171875,10.967245101928711
21,464,464,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/21.png,36.31158447265625,-0.11834442615509033,-0.9168295860290527,10.052085876464844,10.052085876464844,0.0,0.30000001192092896,True,False,0.9962899684906006,False,-1,36.31158493041992,10.968914985656738
22,466,466,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/22.png,36.278785705566406,-0.17455732822418213,-0.6263337135314941,10.343984603881836,10.343984603881836,0.0,0.30000001192092896,True,False,0.9971933960914612,False,-1,36.278786163330075,10.970317840576172
23,468,468,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/23.png,36.08339309692383,-0.14145708084106445,-0.5659875869750977,10.406832695007324,10.406832695007324,0.0,0.30000001192092896,True,False,0.9970479607582092,False,-1,36.0833935546875,10.972820281982422
24,471,471,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/24.png,35.93319320678711,-0.14974641799926758,-0.45349979400634766,10.521119117736816,10.521119117736816,0.0,0.30000001192092896,True,False,0.997337281703949,False,-1,35.93319366455078,10.974618911743164
25,473,473,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/25.png,36.063419342041016,-0.1804715394973755,-0.682248592376709,10.293598175048828,10.293598175048828,0.0,0.30000001192092896,True,False,0.9974895715713501,False,-1,36.063419799804684,10.975846290588379
26,475,475,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/26.png,35.73326110839844,-0.18890058994293213,-0.36980247497558594,10.608689308166504,10.608689308166504,0.0,0.30000001192092896,True,False,0.9975735545158386,False,-1,35.733261566162106,10.97849178314209
27,477,477,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/27.png,35.47917175292969,-0.16631031036376953,-0.8057174682617188,10.174978256225586,10.174978256225586,0.0,0.30000001192092896,True,False,0.9975996613502502,False,-1,35.479172210693356,10.980695724487305
28,479,479,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/28.png,35.069332122802734,-0.17491281032562256,-0.39760684967041016,10.583795547485352,10.583795547485352,0.0,0.30000001192092896,True,False,0.9977243542671204,False,-1,35.0693325805664,10.981402397155762
29,481,481,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/29.png,34.660587310791016,-0.16187238693237305,-0.746455192565918,10.237590789794922,10.237590789794922,0.0,0.30000001192092896,True,False,0.9976786971092224,False,-1,34.660587768554684,10.98404598236084
30,483,483,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/30.png,35.12166976928711,-0.15931236743927002,-0.5336508750915527,10.450338363647461,10.450338363647461,0.0,0.30000001192092896,True,False,0.9979944229125977,False,-1,35.12167022705078,10.983989715576172
31,485,485,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/31.png,35.26682662963867,-0.15505802631378174,-0.5190262794494629,10.467714309692383,10.467714309692383,0.0,0.30000001192092896,True,False,0.9981195330619812,False,-1,35.26682708740234,10.986741065979004
32,488,488,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/32.png,35.66510772705078,-0.15204989910125732,-0.4887394905090332,10.50074577331543,10.50074577331543,0.0,0.30000001192092896,True,False,0.9979735016822815,False,-1,35.66510818481445,10.989485740661621
33,490,490,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/33.png,34.481380462646484,-0.1517409086227417,-0.9533853530883789,10.038207054138184,10.038207054138184,0.0,0.30000001192092896,True,False,0.9971983432769775,False,-1,34.48138092041015,10.991592407226562
34,492,492,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/34.png,34.77637481689453,-0.17891383171081543,-0.7852792739868164,10.207245826721191,10.207245826721191,0.0,0.30000001192092896,True,False,0.998191773891449,False,-1,34.7763752746582,10.992525100708008
35,494,494,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/35.png,35.012020111083984,-0.1723726987838745,-0.7676773071289062,10.226401329040527,10.226401329040527,0.0,0.30000001192092896,True,False,0.9978330731391907,False,-1,35.01202056884765,10.994078636169434
36,496,496,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/36.png,33.5343132019043,-0.19015216827392578,-0.728215217590332,10.26693344116211,10.26693344116211,0.0,0.30000001192092896,True,False,0.9983066320419312,False,-1,33.534313659667966,10.995148658752441
37,498,498,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/37.png,34.17606735229492,-0.1805891990661621,-0.8217964172363281,10.175495147705078,10.175495147705078,0.0,0.30000001192092896,True,False,0.9981487989425659,False,-1,34.17606781005859,10.997291564941406
38,500,500,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/38.png,33.14493942260742,-0.1611095666885376,-1.0086922645568848,9.98921012878418,9.98921012878418,0.0,0.30000001192092896,True,False,0.9974372386932373,False,-1,33.14493988037109,10.997901916503906
39,502,502,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/39.png,34.01655197143555,-0.1300647258758545,-0.9595718383789062,10.04081916809082,10.04081916809082,0.0,0.30000001192092896,True,False,0.9979641437530518,False,-1,34.016552429199216,11.000391006469727
40,505,505,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/40.png,33.09482192993164,-0.1666017770767212,-1.0305137634277344,9.970094680786133,9.970094680786133,0.0,0.30000001192092896,True,False,0.9982629418373108,False,-1,33.09482238769531,11.000608444213867
41,507,507,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/41.png,34.02055740356445,-0.18262779712677002,-0.6270136833190918,10.376266479492188,10.376266479492188,0.0,0.30000001192092896,True,False,0.9986317753791809,False,-1,34.02055786132812,11.003279685974121
42,509,509,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/42.png,33.641944885253906,-0.14627397060394287,-1.2367124557495117,9.768945693969727,9.768945693969727,0.0,0.30000001192092896,True,False,0.9981322884559631,False,-1,33.641945343017575,11.005658149719238
