frame_idx,image_path,dRel,yRel,vRel,vLead,vLeadK,aLeadK,aLeadTau,status,fcw,modelProb,radar,radarTrackId,raw_vision_dRel,vEgo
1,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/1.png,39.671836853027344,-0.10486936569213867,-0.23400020599365234,10.673023223876953,10.673023223876953,0.0,0.30000001192092896,True,False,0.9959039092063904,False,-1,39.67183731079101,10.907023429870605
2,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/2.png,39.326961517333984,-0.1415330171585083,-0.20351171493530273,10.707847595214844,10.707847595214844,0.0,0.30000001192092896,True,False,0.9951283931732178,False,-1,39.32696197509765,10.911359786987305
3,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/3.png,40.09775161743164,-0.13182926177978516,-0.2800264358520508,10.634349822998047,10.634349822998047,0.0,0.30000001192092896,True,False,0.9964615702629089,False,-1,40.09775207519531,10.914376258850098
4,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/4.png,40.68394088745117,-0.12281370162963867,-0.13036823272705078,10.786515235900879,10.786515235900879,0.0,0.30000001192092896,True,False,0.9966349005699158,False,-1,40.68394134521484,10.91688346862793
5,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/5.png,38.76585388183594,-0.1431962251663208,-0.3184933662414551,10.602264404296875,10.602264404296875,0.0,0.30000001192092896,True,False,0.9962471127510071,False,-1,38.765854339599606,10.920758247375488
6,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/6.png,39.19681167602539,-0.14301884174346924,-0.14622020721435547,10.777305603027344,10.777305603027344,0.0,0.30000001192092896,True,False,0.9969785213470459,False,-1,39.19681213378906,10.9235258102417
7,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/7.png,38.96120834350586,-0.14732742309570312,-0.6830434799194336,10.243059158325195,10.243059158325195,0.0,0.30000001192092896,True,False,0.994703471660614,False,-1,38.96120880126953,10.926102638244629
8,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/8.png,39.13979721069336,-0.11467540264129639,-0.29231786727905273,10.638177871704102,10.638177871704102,0.0,0.30000001192092896,True,False,0.997165858745575,False,-1,39.13979766845703,10.930495262145996
9,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/9.png,39.63509750366211,-0.10386478900909424,-0.2744288444519043,10.659324645996094,10.659324645996094,0.0,0.30000001192092896,True,False,0.9965830445289612,False,-1,39.63509796142578,10.93375301361084
10,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/10.png,39.1351432800293,-0.1266798973083496,-0.21112394332885742,10.725231170654297,10.725231170654297,0.0,0.30000001192092896,True,False,0.9964575171470642,False,-1,39.135143737792966,10.936354637145996
11,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/11.png,39.59563064575195,-0.10071659088134766,-0.16100835800170898,10.777959823608398,10.777959823608398,0.0,0.30000001192092896,True,False,0.9966760873794556,False,-1,39.59563110351562,10.938968658447266
12,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/12.png,38.92147445678711,-0.14429426193237305,-0.38056278228759766,10.561470985412598,10.561470985412598,0.0,0.30000001192092896,True,False,0.9968898892402649,False,-1,38.92147491455078,10.942033767700195
13,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/13.png,39.27067565917969,-0.08638179302215576,-0.058367252349853516,10.88446044921875,10.88446044921875,0.0,0.30000001192092896,True,False,0.9962309002876282,False,-1,39.270676116943356,10.942827224731445
14,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/14.png,38.92613220214844,-0.11447501182556152,-0.3254432678222656,10.619617462158203,10.619617462158203,0.0,0.30000001192092896,True,False,0.9967114925384521,False,-1,38.926132659912106,10.945060729980469
15,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/15.png,39.43886947631836,-0.0806422233581543,-0.27951574325561523,10.668539047241211,10.668539047241211,0.0,0.30000001192092896,True,False,0.9966949224472046,False,-1,39.43886993408203,10.948054313659668
16,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/16.png,38.74430465698242,-0.12492334842681885,-0.06052684783935547,10.890496253967285,10.890496253967285,0.0,0.30000001192092896,True,False,0.9971701502799988,False,-1,38.74430511474609,10.95102310180664
17,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/17.png,37.96548843383789,-0.1214897632598877,-0.29149818420410156,10.662239074707031,10.662239074707031,0.0,0.30000001192092896,True,False,0.996981680393219,False,-1,37.96548889160156,10.953737258911133
18,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/18.png,38.661869049072266,-0.07368016242980957,-0.06060028076171875,10.895901679992676,10.895901679992676,0.0,0.30000001192092896,True,False,0.9969232678413391,False,-1,38.661869506835934,10.956501960754395
19,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/19.png,38.073638916015625,-0.1314760446548462,-0.47039222717285156,10.488978385925293,10.488978385925293,0.0,0.30000001192092896,True,False,0.9968082308769226,False,-1,38.073639373779294,10.959370613098145
20,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/20.png,37.33264923095703,-0.12682068347930908,-0.6151571273803711,10.34572982788086,10.34572982788086,0.0,0.30000001192092896,True,False,0.9967394471168518,False,-1,37.3326496887207,10.96088695526123
21,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/21.png,36.414608001708984,-0.1400446891784668,-0.6988701820373535,10.263084411621094,10.263084411621094,0.0,0.30000001192092896,True,False,0.9969279170036316,False,-1,36.41460845947265,10.961955070495605
22,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/22.png,35.744407653808594,-0.18003833293914795,-0.7429189682006836,10.221555709838867,10.221555709838867,0.0,0.30000001192092896,True,False,0.9971047043800354,False,-1,35.74440811157226,10.96447467803955
23,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/23.png,36.14036178588867,-0.13571417331695557,-0.8250589370727539,10.142483711242676,10.142483711242676,0.0,0.30000001192092896,True,False,0.9968256950378418,False,-1,36.14036224365234,10.96754264831543
24,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/24.png,35.770355224609375,-0.16395926475524902,-0.7384233474731445,10.23081111907959,10.23081111907959,0.0,0.30000001192092896,True,False,0.9965658783912659,False,-1,35.770355682373044,10.969234466552734
25,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/25.png,36.16972732543945,-0.16554439067840576,-0.609830379486084,10.360492706298828,10.360492706298828,0.0,0.30000001192092896,True,False,0.9975300431251526,False,-1,36.16972778320312,10.97032356262207
26,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/26.png,36.57505416870117,-0.14712262153625488,-0.4020566940307617,10.570639610290527,10.570639610290527,0.0,0.30000001192092896,True,False,0.997745931148529,False,-1,36.57505462646484,10.972696304321289
27,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/27.png,36.62626266479492,-0.12387669086456299,-0.4739217758178711,10.501818656921387,10.501818656921387,0.0,0.30000001192092896,True,False,0.9975443482398987,False,-1,36.62626312255859,10.975740432739258
28,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/28.png,35.87881851196289,-0.15113568305969238,-0.5033450126647949,10.473918914794922,10.473918914794922,0.0,0.30000001192092896,True,False,0.9975340366363525,False,-1,35.87881896972656,10.977263450622559
29,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/29.png,36.10688018798828,-0.15579605102539062,-0.44909095764160156,10.52956771850586,10.52956771850586,0.0,0.30000001192092896,True,False,0.997688889503479,False,-1,36.10688064575195,10.978658676147461
30,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/30.png,35.489810943603516,-0.1781163215637207,-0.4070873260498047,10.572150230407715,10.572150230407715,0.0,0.30000001192092896,True,False,0.997969925403595,False,-1,35.489811401367184,10.97923755645752
31,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/31.png,35.387203216552734,-0.14755642414093018,-0.4694232940673828,10.511748313903809,10.511748313903809,0.0,0.30000001192092896,True,False,0.9982085227966309,False,-1,35.3872036743164,10.981171607971191
32,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/32.png,34.8819465637207,-0.13502717018127441,-0.7789592742919922,10.204665184020996,10.204665184020996,0.0,0.30000001192092896,True,False,0.9976180195808411,False,-1,34.88194702148437,10.983624458312988
33,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/33.png,34.96556854248047,-0.20221126079559326,-0.7918095588684082,10.193265914916992,10.193265914916992,0.0,0.30000001192092896,True,False,0.9981332421302795,False,-1,34.96556900024414,10.985074996948242
34,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/34.png,34.977481842041016,-0.19947195053100586,-0.5958733558654785,10.39107894897461,10.39107894897461,0.0,0.30000001192092896,True,False,0.9982801675796509,False,-1,34.977482299804684,10.986952781677246
35,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/35.png,34.761051177978516,-0.16405987739562988,-0.6596412658691406,10.329585075378418,10.329585075378418,0.0,0.30000001192092896,True,False,0.9978281855583191,False,-1,34.761051635742184,10.989226341247559
36,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/36.png,34.365657806396484,-0.16640543937683105,-0.6676430702209473,10.322036743164062,10.322036743164062,0.0,0.30000001192092896,True,False,0.9979425072669983,False,-1,34.36565826416015,10.989680290222168
37,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/37.png,34.81797409057617,-0.17796719074249268,-0.49705076217651367,10.494483947753906,10.494483947753906,0.0,0.30000001192092896,True,False,0.9973113536834717,False,-1,34.81797454833984,10.991534233093262
38,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/38.png,34.95265579223633,-0.18594491481781006,-0.7422575950622559,10.25010871887207,10.25010871887207,0.0,0.30000001192092896,True,False,0.9980523586273193,False,-1,34.95265625,10.992366790771484
39,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/39.png,34.69430923461914,-0.15086138248443604,-0.8476252555847168,10.146440505981445,10.146440505981445,0.0,0.30000001192092896,True,False,0.9980816841125488,False,-1,34.69430969238281,10.994065284729004
40,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/40.png,33.93767166137695,-0.21760690212249756,-0.8329215049743652,10.162248611450195,10.162248611450195,0.0,0.30000001192092896,True,False,0.998140811920166,False,-1,33.93767211914062,10.995170593261719
41,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/41.png,34.2445182800293,-0.2036142349243164,-0.8783206939697266,10.119612693786621,10.119612693786621,0.0,0.30000001192092896,True,False,0.99830162525177,False,-1,34.244518737792966,10.997933387756348
42,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/42.png,34.79909133911133,-0.16681230068206787,-0.49636363983154297,10.501535415649414,10.501535415649414,0.0,0.30000001192092896,True,False,0.9984667897224426,False,-1,34.799091796875,10.997899055480957
43,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/43.png,33.07656478881836,-0.1779942512512207,-1.0072541236877441,9.993131637573242,9.993131637573242,0.0,0.30000001192092896,True,False,0.9981685876846313,False,-1,33.07656524658203,11.000386238098145
44,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/44.png,33.54231643676758,-0.20503640174865723,-0.7627754211425781,10.23785400390625,10.23785400390625,0.0,0.30000001192092896,True,False,0.9982759952545166,False,-1,33.54231689453125,11.000629425048828
45,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/45.png,33.09663009643555,-0.23526859283447266,-0.9633808135986328,10.039780616760254,10.039780616760254,0.0,0.30000001192092896,True,False,0.9980311989784241,False,-1,33.096630554199216,11.003161430358887
46,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/46.png,33.18257522583008,-0.2229151725769043,-0.7660107612609863,10.23741340637207,10.23741340637207,0.0,0.30000001192092896,True,False,0.9984696507453918,False,-1,33.18257568359375,11.003424644470215
47,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/47.png,33.8218879699707,-0.148689866065979,-1.236649513244629,9.76771354675293,9.76771354675293,0.0,0.30000001192092896,True,False,0.9980048537254333,False,-1,33.82188842773437,11.004363059997559
48,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/48.png,33.69468307495117,-0.15438151359558105,-1.2235431671142578,9.782610893249512,9.782610893249512,0.0,0.30000001192092896,True,False,0.9981803894042969,False,-1,33.69468353271484,11.00615406036377
49,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/49.png,33.536903381347656,-0.19273734092712402,-1.1641325950622559,9.844675064086914,9.844675064086914,0.0,0.30000001192092896,True,False,0.9985246062278748,False,-1,33.536903839111325,11.008807182312012
50,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/50.png,32.8027229309082,-0.1711212396621704,-1.3231754302978516,9.685948371887207,9.685948371887207,0.0,0.30000001192092896,True,False,0.9977582693099976,False,-1,32.80272338867187,11.009123802185059
51,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/51.png,33.44231414794922,-0.17750287055969238,-1.0510568618774414,9.960310935974121,9.960310935974121,0.0,0.30000001192092896,True,False,0.9985848665237427,False,-1,33.44231460571289,11.011367797851562
52,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/52.png,32.855167388916016,-0.2139660120010376,-1.2356629371643066,9.77610969543457,9.77610969543457,0.0,0.30000001192092896,True,False,0.9985901713371277,False,-1,32.855167846679684,11.011773109436035
53,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/53.png,32.75941848754883,-0.20353317260742188,-1.1836800575256348,9.830450057983398,9.830450057983398,0.0,0.30000001192092896,True,False,0.9987112283706665,False,-1,32.7594189453125,11.014129638671875
54,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/54.png,32.505096435546875,-0.20034122467041016,-1.3092327117919922,9.70628833770752,9.70628833770752,0.0,0.30000001192092896,True,False,0.9986693859100342,False,-1,32.505096893310544,11.015521049499512
55,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/55.png,32.279476165771484,-0.2127293348312378,-1.1556882858276367,9.861812591552734,9.861812591552734,0.0,0.30000001192092896,True,False,0.9983602166175842,False,-1,32.27947662353515,11.017500877380371
56,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/56.png,32.58081817626953,-0.20424914360046387,-1.0784516334533691,9.93971061706543,9.93971061706543,0.0,0.30000001192092896,True,False,0.9987456798553467,False,-1,32.5808186340332,11.018162727355957
57,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/57.png,33.287689208984375,-0.1745307445526123,-0.9745054244995117,10.045577049255371,10.045577049255371,0.0,0.30000001192092896,True,False,0.9985535740852356,False,-1,33.287689666748044,11.020082473754883
58,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/58.png,32.63701248168945,-0.2163938283920288,-1.0281591415405273,9.994357109069824,9.994357109069824,0.0,0.30000001192092896,True,False,0.9985857009887695,False,-1,32.63701293945312,11.022516250610352
59,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/59.png,31.59305191040039,-0.20886480808258057,-1.3894438743591309,9.633588790893555,9.633588790893555,0.0,0.30000001192092896,True,False,0.9983792304992676,False,-1,31.593052368164063,11.023032188415527
60,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/60.png,31.915691375732422,-0.19373095035552979,-1.3416357040405273,9.683247566223145,9.683247566223145,0.0,0.30000001192092896,True,False,0.9982194304466248,False,-1,31.915691833496094,11.024883270263672
61,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/61.png,31.359745025634766,-0.17509102821350098,-1.533315658569336,9.492871284484863,9.492871284484863,0.0,0.30000001192092896,True,False,0.9979962110519409,False,-1,31.359745483398438,11.0261869430542
62,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/62.png,31.34286117553711,-0.16350126266479492,-1.1322355270385742,9.896317481994629,9.896317481994629,0.0,0.30000001192092896,True,False,0.9983489513397217,False,-1,31.34286163330078,11.028553009033203
63,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/63.png,32.14057159423828,-0.18529987335205078,-1.0056452751159668,10.022808074951172,10.022808074951172,0.0,0.30000001192092896,True,False,0.9982648491859436,False,-1,32.14057205200195,11.02845287322998
64,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/64.png,31.982013702392578,-0.18150591850280762,-1.1534171104431152,9.876554489135742,9.876554489135742,0.0,0.30000001192092896,True,False,0.9976561069488525,False,-1,31.98201416015625,11.0299711227417
65,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/65.png,31.77950668334961,-0.17298007011413574,-1.2619132995605469,9.76928424835205,9.76928424835205,0.0,0.30000001192092896,True,False,0.9975112676620483,False,-1,31.77950714111328,11.031197547912598
66,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/66.png,31.213977813720703,-0.22222554683685303,-1.1536359786987305,9.879045486450195,9.879045486450195,0.0,0.30000001192092896,True,False,0.9982351064682007,False,-1,31.213978271484375,11.032681465148926
67,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/67.png,31.613784790039062,-0.19925189018249512,-1.2065553665161133,9.82751178741455,9.82751178741455,0.0,0.30000001192092896,True,False,0.9979004859924316,False,-1,31.613785247802735,11.034067153930664
68,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/68.png,31.22339630126953,-0.22212910652160645,-1.394477367401123,9.639291763305664,9.639291763305664,0.0,0.30000001192092896,True,False,0.9972514510154724,False,-1,31.223396759033204,11.033768653869629
69,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/69.png,32.06903076171875,-0.20542991161346436,-1.260429859161377,9.774660110473633,9.774660110473633,0.0,0.30000001192092896,True,False,0.997536301612854,False,-1,32.06903121948242,11.035090446472168
70,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/70.png,30.38839340209961,-0.20880532264709473,-1.6175565719604492,9.419161796569824,9.419161796569824,0.0,0.30000001192092896,True,False,0.996829092502594,False,-1,30.38839385986328,11.036718368530273
