frame_idx,image_path,dRel,yRel,vRel,vLead,vLeadK,aLeadK,aLeadTau,status,fcw,modelProb,radar,radarTrackId,raw_vision_dRel,vEgo
1,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/1.png,40.15297317504883,-0.09045040607452393,-0.22533130645751953,10.686399459838867,10.686399459838867,0.0,0.30000001192092896,True,False,0.995213508605957,False,-1,40.1529736328125,10.911730766296387
2,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/2.png,39.65279006958008,-0.1074376106262207,-0.3884143829345703,10.526226997375488,10.526226997375488,0.0,0.30000001192092896,True,False,0.9957838654518127,False,-1,39.65279052734375,10.914641380310059
3,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/3.png,39.69215774536133,-0.1505415439605713,-0.42989683151245117,10.487947463989258,10.487947463989258,0.0,0.30000001192092896,True,False,0.9950416684150696,False,-1,39.692158203125,10.91784381866455
4,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/4.png,38.96003341674805,-0.1697680950164795,-0.5800609588623047,10.342228889465332,10.342228889465332,0.0,0.30000001192092896,True,False,0.9952065348625183,False,-1,38.960033874511716,10.922289848327637
5,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/5.png,38.65182876586914,-0.12660455703735352,-0.7912344932556152,10.134258270263672,10.134258270263672,0.0,0.30000001192092896,True,False,0.9935355186462402,False,-1,38.65182922363281,10.925493240356445
6,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/6.png,39.66392135620117,-0.12711715698242188,-0.1874852180480957,10.74064826965332,10.74064826965332,0.0,0.30000001192092896,True,False,0.996009111404419,False,-1,39.66392181396484,10.928133010864258
7,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/7.png,38.349056243896484,-0.145074725151062,-0.49739551544189453,10.435123443603516,10.435123443603516,0.0,0.30000001192092896,True,False,0.9957959651947021,False,-1,38.34905670166015,10.93251895904541
8,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/8.png,39.90825271606445,-0.0950155258178711,-0.17020893096923828,10.765446662902832,10.765446662902832,0.0,0.30000001192092896,True,False,0.9969507455825806,False,-1,39.90825317382812,10.93565559387207
9,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/9.png,38.9414176940918,-0.12318575382232666,-0.4674348831176758,10.471200942993164,10.471200942993164,0.0,0.30000001192092896,True,False,0.9966097474098206,False,-1,38.941418151855466,10.93863582611084
10,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/10.png,38.61195755004883,-0.1093294620513916,-0.22365951538085938,10.717705726623535,10.717705726623535,0.0,0.30000001192092896,True,False,0.9961925745010376,False,-1,38.6119580078125,10.941365242004395
11,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/11.png,38.97995376586914,-0.08576273918151855,-0.24355173110961914,10.700946807861328,10.700946807861328,0.0,0.30000001192092896,True,False,0.9961548447608948,False,-1,38.97995422363281,10.944498062133789
12,/home/pjk/PycharmProjects/openpilot0.9.6/CAP/data/imgs/test_optim_patch26314/12.png,39.359256744384766,-0.10980308055877686,-0.03497505187988281,10.912551879882812,10.912551879882812,0.0,0.30000001192092896,True,False,0.9964973330497742,False,-1,39.359257202148434,10.947526931762695
